id,Name,Gender,Age,Section,Science,English,History,Maths
1,Bronnie,Female,13,C,21,81,62,49
2,Lemmie,Male,15,B,29,41,17,40
3,Danya,Female,14,C,12,87,16,96
4,Denna,Female,14,B,15,53,82,33
5,Jocelin,Male,14,A,43,6,3,21
6,Malissa,Female,14,C,98,51,85,76
7,Ichabod,Female,14,B,38,74,54,60
8,Beverlie,Male,14,B,25,51,41,80
9,Corrine,Male,15,A,39,16,22,49
10,Tate,Male,15,C,35,25,37,27
11,Dunn,Male,15,C,100,93,87,81
12,Valaria,Male,13,B,19,5,78,76
13,Merrick,Male,15,A,65,89,96,34
14,Gracie,Female,13,B,93,38,39,93
15,Missy,Female,13,B,98,18,84,74
16,Gilberta,Male,15,A,53,30,90,64
17,Peggy,Male,13,A,91,45,44,45
18,Dory,Female,13,B,5,89,25,23
19,Opalina,Female,13,B,62,77,75,72
20,Ashlan,Male,13,B,41,6,17,3
21,Amery,Male,13,A,76,96,67,17
22,Benoite,Male,14,B,3,55,14,90
23,Merle,Female,13,C,5,83,19,39
24,Valma,Female,14,C,48,83,79,95
25,Jone,Male,14,A,17,87,16,50
26,Rae,Female,15,A,16,59,18,64
27,Charmine,Female,14,A,93,93,83,40
28,Hanan,Male,14,A,60,36,86,87
29,Adrian,Male,13,C,19,8,76,75
30,Livia,Male,13,C,95,65,25,91
31,Richie,Female,15,B,14,83,9,90
32,Ekaterina,Female,15,B,17,36,45,27
33,Tamra,Female,14,C,17,74,11,49
34,Zarla,Female,15,B,54,18,46,17
35,Tommy,Female,13,B,5,75,13,61
36,Anna-diane,Female,15,C,93,53,10,29
37,Josh,Female,14,A,54,23,19,94
38,Claudina,Male,14,C,90,62,45,21
39,Adah,Female,13,A,71,90,78,35
40,Luelle,Male,13,B,100,52,89,76
41,Johannes,Female,15,C,10,78,56,41
42,Hetty,Female,13,B,21,89,72,84
43,Brandie,Male,15,B,43,2,17,78
44,Arvie,Female,15,B,26,46,81,63
45,Jacenta,Male,15,C,65,7,57,27
46,Teddy,Male,14,A,50,22,50,78
47,Everett,Female,14,A,84,57,25,57
48,Lyda,Female,15,C,78,58,1,33
49,Vinny,Male,13,B,81,25,99,13
50,Karrie,Male,14,A,94,15,66,34
51,Skipp,Male,14,C,31,37,77,79
52,Rollie,Female,13,A,17,99,29,85
53,Ruben,Female,15,B,15,84,40,40
54,Tabbie,Male,15,C,23,44,76,46
55,Lief,Male,15,B,55,64,56,69
56,Olenka,Female,14,B,53,53,49,43
57,Hinze,Male,15,A,46,37,63,17
58,Issie,Male,14,A,64,1,74,6
59,Yardley,Female,14,C,41,37,26,65
60,Winslow,Female,14,B,61,71,77,64
61,Bobbee,Female,14,C,16,57,90,14
62,Fanny,Female,13,C,49,90,13,98
63,Massimiliano,Male,14,A,16,45,44,5
64,Shannon,Male,15,B,78,74,31,85
65,Mufi,Female,14,C,88,72,31,27
66,Christan,Female,14,C,85,6,10,85
67,Orrin,Female,15,C,45,41,26,12
68,Drusi,Male,15,C,39,7,100,70
69,Nil,Female,15,A,84,97,70,96
70,Jessamine,Female,14,B,34,71,35,47
71,Bil,Female,15,C,95,32,91,48
72,Jaymie,Male,14,C,48,59,60,58
73,Lorrie,Male,13,A,72,78,40,78
74,Bethena,Male,13,B,46,89,83,64
75,Sascha,Female,13,B,85,10,62,62
76,Cherie,Male,15,C,32,31,89,30
77,David,Female,13,B,27,2,63,100
78,Jody,Male,15,B,87,45,73,48
79,Rosalynd,Male,13,C,27,96,89,49
80,Elton,Male,13,B,13,18,80,82
81,Teresita,Male,15,A,1,90,42,94
82,Dannel,Male,15,C,84,85,14,24
83,Amabel,Male,14,A,59,12,45,64
84,Eugine,Male,13,C,34,18,39,94
85,Brien,Female,13,C,36,95,55,46
86,Agace,Male,15,C,17,75,8,71
87,Aubrey,Female,13,A,8,72,78,14
88,Sheffie,Female,15,C,44,55,51,100
89,Ranee,Female,15,A,58,16,64,67
90,Cobby,Male,15,C,64,20,86,84
91,Linn,Male,13,C,23,2,42,43
92,Daffi,Female,15,A,79,82,99,81
93,Morganne,Female,15,A,22,86,9,38
94,Dael,Female,13,A,43,65,18,26
95,Ario,Male,14,A,64,18,73,37
96,Georgia,Female,15,A,58,10,99,44
97,Adolphus,Male,13,A,19,98,13,86
98,Silvia,Male,14,A,40,61,63,80
99,Brendin,Male,14,C,72,51,50,11
